season,team,winrate
1972,Boston Bruins,0.7971014492753623
1972,St. Louis Blues,0.42028985507246375
1972,Buffalo Sabres,0.2786885245901639
1972,Philadelphia Flyers,0.4090909090909091
1972,Oakland Seals,0.3548387096774194
1972,Montreal Canadiens,0.734375
1972,Chicago Blackhawks,0.7230769230769231
1972,Pittsburgh Penguins,0.4090909090909091
1973,Los Angeles Kings,0.463768115942029
1973,Toronto Maple Leafs,0.4
1973,Detroit Red Wings,0.5588235294117647
1973,Calgary Flames,0.4
1973,Vancouver Canucks,0.323943661971831
1973,Dallas Stars,0.5507246376811594
1973,New York Rangers,0.6666666666666666
1973,Boston Bruins,0.6933333333333334
1973,Buffalo Sabres,0.5757575757575758
1973,St. Louis Blues,0.4852941176470588
1973,Philadelphia Flyers,0.5507246376811594
1973,Oakland Seals,0.265625
1973,Montreal Canadiens,0.828125
1973,Chicago Blackhawks,0.6056338028169014
1973,New York Islanders,0.17567567567567569
1973,Pittsburgh Penguins,0.4647887323943662
1974,Los Angeles Kings,0.5
1974,Toronto Maple Leafs,0.5625
1974,Detroit Red Wings,0.42857142857142855
1974,Calgary Flames,0.4696969696969697
1974,Vancouver Canucks,0.36231884057971014
1974,Dallas Stars,0.38095238095238093
1974,New York Rangers,0.6212121212121212
1974,Boston Bruins,0.7464788732394366
1974,Buffalo Sabres,0.4852941176470588
1974,St. Louis Blues,0.39705882352941174
1974,Philadelphia Flyers,0.75
1974,Oakland Seals,0.2
1974,Montreal Canadiens,0.647887323943662
1974,Chicago Blackhawks,0.7368421052631579
1974,New York Islanders,0.3225806451612903
1974,Pittsburgh Penguins,0.4084507042253521
1975,Los Angeles Kings,0.7049180327868853
1975,Toronto Maple Leafs,0.48484848484848486
1975,Detroit Red Wings,0.34285714285714286
1975,Calgary Flames,0.5223880597014925
1975,Vancouver Canucks,0.5416666666666666
1975,Washington Capitals,0.11688311688311688
1975,Dallas Stars,0.32
1975,New York Rangers,0.5588235294117647
1975,Boston Bruins,0.6029411764705882
1975,New Jersey Devils,0.22535211267605634
1975,Buffalo Sabres,0.746268656716418
1975,St. Louis Blues,0.5294117647058824
1975,Philadelphia Flyers,0.7323943661971831
1975,Oakland Seals,0.2898550724637681
1975,Montreal Canadiens,0.7619047619047619
1975,Chicago Blackhawks,0.5135135135135135
1975,New York Islanders,0.5666666666666667
1975,Pittsburgh Penguins,0.5671641791044776
1976,Los Angeles Kings,0.5342465753424658
1976,Toronto Maple Leafs,0.5223880597014925
1976,Detroit Red Wings,0.375
1976,Calgary Flames,0.5142857142857142
1976,Vancouver Canucks,0.5074626865671642
1976,Washington Capitals,0.16666666666666666
1976,Dallas Stars,0.28
1976,New York Rangers,0.410958904109589
1976,Boston Bruins,0.7538461538461538
1976,New Jersey Devils,0.18571428571428572
1976,Buffalo Sabres,0.6811594202898551
1976,St. Louis Blues,0.4411764705882353
1976,Philadelphia Flyers,0.7878787878787878
1976,Oakland Seals,0.39436619718309857
1976,Montreal Canadiens,0.8309859154929577
1976,Chicago Blackhawks,0.515625
1976,New York Islanders,0.6615384615384615
1976,Pittsburgh Penguins,0.5142857142857142
1977,Los Angeles Kings,0.5223880597014925
1977,Toronto Maple Leafs,0.5074626865671642
1977,Detroit Red Wings,0.2328767123287671
1977,Calgary Flames,0.5
1977,Vancouver Canucks,0.37681159420289856
1977,Washington Capitals,0.36764705882352944
1977,Dallas Stars,0.375
1977,New York Rangers,0.4411764705882353
1977,Boston Bruins,0.6756756756756757
1977,New Jersey Devils,0.3088235294117647
1977,St. Louis Blues,0.4520547945205479
1977,Buffalo Sabres,0.6621621621621622
1977,Philadelphia Flyers,0.7424242424242424
1977,Oakland Seals,0.37681159420289856
1977,Montreal Canadiens,0.8714285714285714
1977,Chicago Blackhawks,0.38028169014084506
1977,New York Islanders,0.6857142857142857
1977,Pittsburgh Penguins,0.5072463768115942
1978,Los Angeles Kings,0.47761194029850745
1978,Toronto Maple Leafs,0.5833333333333334
1978,Detroit Red Wings,0.4852941176470588
1978,Calgary Flames,0.5555555555555556
1978,Vancouver Canucks,0.3230769230769231
1978,Washington Capitals,0.2647058823529412
1978,Dallas Stars,0.2602739726027397
1978,New York Rangers,0.4492753623188406
1978,Boston Bruins,0.7323943661971831
1978,New Jersey Devils,0.32786885245901637
1978,Buffalo Sabres,0.6923076923076923
1978,St. Louis Blues,0.30434782608695654
1978,Philadelphia Flyers,0.6865671641791045
1978,Oakland Seals,0.3333333333333333
1978,Montreal Canadiens,0.8450704225352113
1978,Chicago Blackhawks,0.5238095238095238
1978,New York Islanders,0.7313432835820896
1978,Pittsburgh Penguins,0.40625
1979,Los Angeles Kings,0.5
1979,Toronto Maple Leafs,0.5072463768115942
1979,Detroit Red Wings,0.36363636363636365
1979,Calgary Flames,0.5675675675675675
1979,Vancouver Canucks,0.37681159420289856
1979,Washington Capitals,0.373134328358209
1979,Dallas Stars,0.4142857142857143
1979,New York Rangers,0.5774647887323944
1979,Boston Bruins,0.6470588235294118
1979,New Jersey Devils,0.22857142857142856
1979,St. Louis Blues,0.2714285714285714
1979,Buffalo Sabres,0.5606060606060606
1979,Philadelphia Flyers,0.6119402985074627
1979,Montreal Canadiens,0.7464788732394366
1979,Chicago Blackhawks,0.44776119402985076
1979,New York Islanders,0.7647058823529411
1979,Pittsburgh Penguins,0.5362318840579711
1980,Vancouver Canucks,0.42424242424242425
1980,Carolina Hurricanes,0.4444444444444444
1980,Dallas Stars,0.5606060606060606
1980,Boston Bruins,0.6811594202898551
1980,Buffalo Sabres,0.7272727272727273
1980,St. Louis Blues,0.5
1980,Chicago Blackhawks,0.5555555555555556
1980,Pittsburgh Penguins,0.4492753623188406
1980,Los Angeles Kings,0.45588235294117646
1980,Toronto Maple Leafs,0.4675324675324675
1980,Detroit Red Wings,0.38028169014084506
1980,Calgary Flames,0.5217391304347826
1980,Arizona Coyotes,0.29577464788732394
1980,Edmonton Oilers,0.42028985507246375
1980,Washington Capitals,0.4057971014492754
1980,New York Rangers,0.5416666666666666
1980,Colorado Avalanche,0.36619718309859156
1980,New Jersey Devils,0.2898550724637681
1980,Philadelphia Flyers,0.7903225806451613
1980,Montreal Canadiens,0.6956521739130435
1980,New York Islanders,0.5797101449275363
1981,Vancouver Canucks,0.46774193548387094
1981,Carolina Hurricanes,0.34375
1981,Dallas Stars,0.5538461538461539
1981,Boston Bruins,0.5507246376811594
1981,St. Louis Blues,0.7076923076923077
1981,Buffalo Sabres,0.6557377049180327
1981,Chicago Blackhawks,0.48484848484848486
1981,Pittsburgh Penguins,0.4492753623188406
1981,Los Angeles Kings,0.6376811594202898
1981,Toronto Maple Leafs,0.43283582089552236
1981,Detroit Red Wings,0.3125
1981,Calgary Flames,0.5882352941176471
1981,Arizona Coyotes,0.14705882352941177
1981,Edmonton Oilers,0.45454545454545453
1981,Washington Capitals,0.421875
1981,New York Rangers,0.45588235294117646
1981,Colorado Avalanche,0.484375
1981,New Jersey Devils,0.3333333333333333
1981,Philadelphia Flyers,0.6268656716417911
1981,Montreal Canadiens,0.6666666666666666
1981,New York Islanders,0.7205882352941176
1982,Vancouver Canucks,0.47692307692307695
1982,Carolina Hurricanes,0.34375
1982,Dallas Stars,0.6129032258064516
1982,Boston Bruins,0.6111111111111112
1982,St. Louis Blues,0.44594594594594594
1982,Buffalo Sabres,0.5970149253731343
1982,Chicago Blackhawks,0.44285714285714284
1982,Pittsburgh Penguins,0.463768115942029
1982,Los Angeles Kings,0.373134328358209
1982,Toronto Maple Leafs,0.3181818181818182
1982,Detroit Red Wings,0.3142857142857143
1982,Arizona Coyotes,0.5
1982,Calgary Flames,0.46153846153846156
1982,Edmonton Oilers,0.7313432835820896
1982,Washington Capitals,0.391304347826087
1982,New York Rangers,0.5882352941176471
1982,Colorado Avalanche,0.5151515151515151
1982,New Jersey Devils,0.2753623188405797
1982,Philadelphia Flyers,0.5492957746478874
1982,Montreal Canadiens,0.7230769230769231
1982,New York Islanders,0.7638888888888888
1983,Vancouver Canucks,0.4626865671641791
1983,Carolina Hurricanes,0.26666666666666666
1983,Dallas Stars,0.6212121212121212
1983,Boston Bruins,0.7083333333333334
1983,St. Louis Blues,0.3880597014925373
1983,Buffalo Sabres,0.5652173913043478
1983,Chicago Blackhawks,0.6666666666666666
1983,Pittsburgh Penguins,0.2602739726027397
1983,Los Angeles Kings,0.4
1983,Toronto Maple Leafs,0.4142857142857143
1983,Detroit Red Wings,0.3283582089552239
1983,Calgary Flames,0.4852941176470588
1983,Arizona Coyotes,0.4594594594594595
1983,Edmonton Oilers,0.6857142857142857
1983,Washington Capitals,0.6060606060606061
1983,New York Rangers,0.5
1983,Colorado Avalanche,0.5
1983,New Jersey Devils,0.2647058823529412
1983,Philadelphia Flyers,0.6756756756756757
1983,Montreal Canadiens,0.6323529411764706
1983,New York Islanders,0.6142857142857143
1984,Vancouver Canucks,0.4520547945205479
1984,Carolina Hurricanes,0.4027777777777778
1984,Dallas Stars,0.5555555555555556
1984,Boston Bruins,0.6578947368421053
1984,St. Louis Blues,0.44
1984,Buffalo Sabres,0.6533333333333333
1984,Chicago Blackhawks,0.4189189189189189
1984,Pittsburgh Penguins,0.2236842105263158
1984,Los Angeles Kings,0.34782608695652173
1984,Toronto Maple Leafs,0.3698630136986301
1984,Detroit Red Wings,0.4266666666666667
1984,Calgary Flames,0.5147058823529411
1984,Arizona Coyotes,0.4507042253521127
1984,Edmonton Oilers,0.7532467532467533
1984,Washington Capitals,0.6363636363636364
1984,New York Rangers,0.589041095890411
1984,Colorado Avalanche,0.5972222222222222
1984,New Jersey Devils,0.24
1984,Philadelphia Flyers,0.625
1984,Montreal Canadiens,0.4675324675324675
1984,New York Islanders,0.6538461538461539
1985,Vancouver Canucks,0.3561643835616438
1985,Carolina Hurricanes,0.4246575342465753
1985,Dallas Stars,0.37142857142857144
1985,Boston Bruins,0.5138888888888888
1985,Buffalo Sabres,0.5735294117647058
1985,St. Louis Blues,0.5428571428571428
1985,Chicago Blackhawks,0.52
1985,Pittsburgh Penguins,0.3246753246753247
1985,Los Angeles Kings,0.5147058823529411
1985,Toronto Maple Leafs,0.28378378378378377
1985,Detroit Red Wings,0.4
1985,Calgary Flames,0.6
1985,Arizona Coyotes,0.6111111111111112
1985,Edmonton Oilers,0.704225352112676
1985,Washington Capitals,0.6438356164383562
