date,season,location,team1,team2,score1,score2,result,elo_prob1
1924-10-26,1924,H,BFF,AKR,17,13,1.0,0.6962213065283833
1924-11-01,1924,H,FYJ,AKR,23,0,1.0,0.583961112008462
1924-11-02,1924,H,CHI,RII,3,3,0.5,0.7213490795533423
1924-11-02,1924,H,GB,RAC,6,3,1.0,0.6316441999231758
1924-11-02,1924,H,ARI,MIL,8,17,0.0,0.6890992462873946
1924-11-02,1924,H,BFF,FYJ,0,24,0.0,0.6946350469406571
1924-11-02,1924,H,MNN,DUL,0,6,0.0,0.5025673598152219
1924-11-02,1924,H,CIB,DAY,35,0,1.0,0.6356583844182242
1924-11-02,1924,H,KCB,HAM,0,6,0.0,0.4627585849134019
1924-11-02,1924,H,COL,AKR,30,0,1.0,0.6743440437243522
1924-11-08,1924,H,FYJ,KCB,42,7,1.0,0.8249406855945229
1924-11-09,1924,H,CHI,COL,12,6,1.0,0.7209427645049976
1924-11-09,1924,H,RAC,RII,3,6,0.0,0.5905579069563336
1924-11-09,1924,H,MIL,MNN,28,7,1.0,0.7414931113107684
1924-11-09,1924,H,BFF,KEN,27,0,1.0,0.8456871081303081
1924-11-09,1924,H,GB,DUL,13,0,1.0,0.7005645778173258
1924-11-09,1924,H,ARI,DAY,23,0,1.0,0.6964915183488375
1924-11-09,1924,H,AKR,CIB,7,20,0.0,0.4429951529602916
1924-11-11,1924,H,KCB,MIL,7,3,1.0,0.2994136866380879
1924-11-15,1924,H,FYJ,MNN,39,7,1.0,0.7865161042465174
1924-11-16,1924,H,CHI,RAC,3,3,0.5,0.7381869174113296
1924-11-16,1924,H,BFF,DAY,14,6,1.0,0.7217850873644253
