date,season,location,team1,team2,score1,score2,result,implied_probability,accuracy
1924-09-28,1924,H,DUL,GB,6,3,1.0,0.5492957746478873,1.0
1924-09-28,1924,H,RAC,HAM,10,0,1.0,0.5263157894736842,1.0
1924-09-28,1924,H,RII,CHI,0,0,0.5,0.4615384615384615,0.5
1924-10-04,1924,H,FYJ,KEN,31,6,1.0,0.8275862068965517,1.0
1924-10-05,1924,H,RII,RAC,9,0,1.0,0.5454545454545454,1.0
1924-10-05,1924,H,RCH,AKR,0,3,0.0,0.2702702702702703,1.0
1924-10-05,1924,H,CIB,CHI,16,14,1.0,0.5070422535211268,1.0
1924-10-05,1924,H,BFF,COL,13,0,1.0,0.5185185185185186,1.0
1924-10-05,1924,H,MNN,DUL,0,3,0.0,0.14285714285714285,1.0
1924-10-05,1924,H,DAY,FYJ,19,7,1.0,0.2727272727272727,0.0
1924-10-05,1924,H,ARI,GB,3,0,1.0,0.4698795180722891,0.0
1924-10-05,1924,H,MIL,KCB,3,0,1.0,0.5945945945945946,1.0
1924-10-11,1924,H,FYJ,CIB,3,3,0.5,0.5,0.5
1924-10-12,1924,H,ARI,MNN,13,0,1.0,0.8135593220338982,1.0
1924-10-12,1924,H,CHI,RAC,10,10,0.5,0.5833333333333333,0.5
1924-10-12,1924,H,GB,KCB,16,0,1.0,0.6929133858267716,1.0
1924-10-12,1924,H,MIL,KEN,21,0,1.0,0.7058823529411765,1.0
1924-10-12,1924,H,CIB,AKR,29,14,1.0,0.7272727272727273,1.0
1924-10-12,1924,H,RCH,COL,7,15,0.0,0.1818181818181818,1.0
1924-10-12,1924,H,BFF,DAY,0,7,0.0,0.6422018348623854,0.0
1924-10-12,1924,H,RII,HAM,26,0,1.0,0.5714285714285715,1.0
1924-10-18,1924,H,FYJ,COL,23,7,1.0,0.6153846153846154,1.0
1924-10-19,1924,H,KEN,HAM,6,6,0.5,0.24999999999999992,0.5
1924-10-19,1924,H,CHI,ARI,6,0,1.0,0.5877862595419848,1.0
1924-10-19,1924,H,RII,DAY,20,0,1.0,0.6896551724137931,1.0
1924-10-19,1924,H,RAC,KCB,13,3,1.0,0.6707317073170732,1.0
