date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-09-24,2023,A,WHU,LIV,-0.005646401696906063,1.3163165863944974,0.0,0,1.0
2023-09-24,2023,A,NEW,SHU,1.5997702660249487,-1.7008825488428898,1.0,1,1.0
2023-09-24,2023,H,BRH,BOU,0.45530791664800513,-1.3435873566699135,1.0,1,1.0
2023-09-24,2023,H,CHE,AVA,0.39648214780656216,0.8920735785193186,0.0,0,1.0
2023-09-24,2023,H,LIV,WHU,1.3163165863944974,-0.005646401696906063,1.0,1,1.0
2023-09-24,2023,H,SHU,NEW,-1.7008825488428898,1.5997702660249487,0.0,0,1.0
2023-09-24,2023,A,TOT,ARS,0.5514806326471557,1.1711383750383944,0.5,0,0.5
2023-09-30,2023,H,AVA,BRH,0.8920735785193186,0.45530791664800513,1.0,1,1.0
2023-09-30,2023,H,BOU,ARS,-1.3435873566699135,1.1711383750383944,0.0,0,1.0
2023-09-30,2023,H,EVE,LUT,-0.45995338155955806,-0.9755357594677777,0.0,1,0.0
2023-09-30,2023,H,MUN,CRY,-0.4516599732792638,-0.3262477811388006,0.0,0,1.0
2023-09-30,2023,H,NEW,BUR,1.5997702660249487,-1.5567750373861282,1.0,1,1.0
2023-09-30,2023,H,WHU,SHU,-0.005646401696906063,-1.7008825488428898,1.0,1,1.0
2023-09-30,2023,H,WLV,MNC,-0.4057098937418827,1.5315896222107068,1.0,0,0.0
2023-09-30,2023,H,TOT,LIV,0.5514806326471557,1.3163165863944974,1.0,0,0.0
2023-09-30,2023,A,LIV,TOT,1.3163165863944974,0.5514806326471557,0.0,1,0.0
2023-09-30,2023,A,MNC,WLV,1.5315896222107068,-0.4057098937418827,0.0,1,0.0
2023-09-30,2023,A,SHU,WHU,-1.7008825488428898,-0.005646401696906063,0.0,0,1.0
2023-09-30,2023,A,BUR,NEW,-1.5567750373861282,1.5997702660249487,0.0,0,1.0
2023-09-30,2023,A,CRY,MUN,-0.3262477811388006,-0.4516599732792638,1.0,1,1.0
2023-09-30,2023,A,LUT,EVE,-0.9755357594677777,-0.45995338155955806,1.0,0,0.0
2023-09-30,2023,A,ARS,BOU,1.1711383750383944,-1.3435873566699135,1.0,1,1.0
2023-09-30,2023,A,BRH,AVA,0.45530791664800513,0.8920735785193186,0.0,0,1.0
2023-10-01,2023,A,BRE,NTG,0.2263085102701354,-0.22519929817047674,0.5,1,0.5
